sample	line_order	tissue	tissue_label	tissue_color	qscore	density
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	26.88718289774071	0.0010992570003936235
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	26.937231817978343	0.001145882312798287
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	26.987280738215972	0.0011894008324314124
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.037329658453604	0.0012289680844862895
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.087378578691236	0.0012636601741828155
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.137427498928865	0.001292627880389835
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.187476419166497	0.0013152767265329631
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.23752533940413	0.0013314420333458555
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.287574259641758	0.0013415264110048445
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.33762317987939	0.0013465717638118063
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.387672100117022	0.0013482480052829122
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.43772102035465	0.001348754461352409
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.487769940592283	0.001350644687045846
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.537818860829915	0.0013565982090223716
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.587867781067544	0.001369171035472622
