r_b	tis1	tis2	se_r_b	n_genes	label
0.783140434752976	Pancreas_Tail	Whole_Blood	0.0074080504112074	3679	3,679\nRb=0.78\n(se=0.007)
0.902894393132162	Skin	Adipose	0.0072675769712373	960	960\nRb=0.90\n(se=0.007)
0.89133828525155	Skin	Adrenal_Gland	0.00744862848952496	932	932\nRb=0.89\n(se=0.007)
0.893930203010882	Skin	Gallbladder	0.0072311512766071	955	955\nRb=0.89\n(se=0.007)
0.880646581103987	Skin	Liver	0.00892732355116856	872	872\nRb=0.88\n(se=0.009)
0.900491924497933	Skin	Muscle	0.00765005238016659	898	898\nRb=0.90\n(se=0.008)
0.887063945774106	Skin	Pancreas_Body	0.008521525277161	904	904\nRb=0.89\n(se=0.009)
0.883579159588327	Skin	Pancreas_Head	0.00881828811796389	902	902\nRb=0.88\n(se=0.009)
0.884344924036373	Skin	Pancreas_Tail	0.00882256974891458	902	902\nRb=0.88\n(se=0.009)
0.900567174346303	Skin	Spleen	0.00810484985912118	937	937\nRb=0.90\n(se=0.008)
0.883124040817607	Skin	Whole_Blood	0.00899045990334055	775	775\nRb=0.88\n(se=0.009)
0.87044308201112	Spleen	Adipose	0.00652465194607434	1678	1,678\nRb=0.87\n(se=0.007)
0.8672296194138	Spleen	Adrenal_Gland	0.00659362414638958	1646	1,646\nRb=0.87\n(se=0.007)
0.871913136320718	Spleen	Gallbladder	0.00621252651965227	1715	1,715\nRb=0.87\n(se=0.006)
0.861069399844124	Spleen	Liver	0.00731472222493941	1561	1,561\nRb=0.86\n(se=0.007)
0.851509919231759	Spleen	Muscle	0.00768218951446655	1541	1,541\nRb=0.85\n(se=0.008)
0.849807320987086	Spleen	Pancreas_Body	0.00771675562568199	1561	1,561\nRb=0.85\n(se=0.008)
0.846098358007627	Spleen	Pancreas_Head	0.0084510130502044	1563	1,563\nRb=0.85\n(se=0.008)
0.848466725831855	Spleen	Pancreas_Tail	0.00800168623829603	1559	1,559\nRb=0.85\n(se=0.008)
0.849404496267848	Spleen	Skin	0.00795081279997298	1663	1,663\nRb=0.85\n(se=0.008)
0.897223151464727	Spleen	Whole_Blood	0.00597731350782524	1478	1,478\nRb=0.90\n(se=0.006)
0.774381018902832	Whole_Blood	Adipose	0.0058390276244382	4733	4,733\nRb=0.77\n(se=0.006)
0.746802050583553	Whole_Blood	Adrenal_Gland	0.00670330253397955	4613	4,613\nRb=0.75\n(se=0.007)
0.773758969316599	Whole_Blood	Gallbladder	0.00580033080778895	4769	4,769\nRb=0.77\n(se=0.006)
0.734005600066998	Whole_Blood	Liver	0.00753465011158934	4497	4,497\nRb=0.73\n(se=0.008)
0.732020188293352	Whole_Blood	Muscle	0.00752173370782281	4466	4,466\nRb=0.73\n(se=0.008)
0.73043961112488	Whole_Blood	Pancreas_Body	0.0072446845114905	4486	4,486\nRb=0.73\n(se=0.007)
0.732367073866295	Whole_Blood	Pancreas_Head	0.00701648269517676	4483	4,483\nRb=0.73\n(se=0.007)
0.729065354724645	Whole_Blood	Pancreas_Tail	0.00722766238648873	4487	4,487\nRb=0.73\n(se=0.007)
0.740587583781393	Whole_Blood	Skin	0.00785908438274868	4706	4,706\nRb=0.74\n(se=0.008)
0.869451278093206	Whole_Blood	Spleen	0.00438550097349503	4904	4,904\nRb=0.87\n(se=0.004)
1	Adipose	Adipose	0	NA	3,676\nRb=1.00\n(se=0.000)
1	Adrenal_Gland	Adrenal_Gland	0	NA	4,476\nRb=1.00\n(se=0.000)
1	Gallbladder	Gallbladder	0	NA	2,838\nRb=1.00\n(se=0.000)
1	Liver	Liver	0	NA	4,233\nRb=1.00\n(se=0.000)
1	Muscle	Muscle	0	NA	1,104\nRb=1.00\n(se=0.000)
1	Pancreas_Body	Pancreas_Body	0	NA	4,472\nRb=1.00\n(se=0.000)
1	Pancreas_Head	Pancreas_Head	0	NA	4,617\nRb=1.00\n(se=0.000)
1	Pancreas_Tail	Pancreas_Tail	0	NA	4,801\nRb=1.00\n(se=0.000)
1	Skin	Skin	0	NA	1,041\nRb=1.00\n(se=0.000)
1	Spleen	Spleen	0	NA	1,827\nRb=1.00\n(se=0.000)
1	Whole_Blood	Whole_Blood	0	NA	5,024\nRb=1.00\n(se=0.000)
