Var1	Var2	Freq	qtltype
Adipose	0	2046	juQTL
Adrenal_Gland	0	2030	juQTL
Gallbladder	0	1921	juQTL
Liver	0	1925	juQTL
Muscle	0	815	juQTL
Pancreas_Body	0	1902	juQTL
Pancreas_Head	0	1964	juQTL
Pancreas_Tail	0	2011	juQTL
Skin	0	817	juQTL
Spleen	0	946	juQTL
Whole_Blood	0	1620	juQTL
Adipose	1	1113	juQTL
Adrenal_Gland	1	1156	juQTL
Gallbladder	1	980	juQTL
Liver	1	948	juQTL
Muscle	1	489	juQTL
Pancreas_Body	1	955	juQTL
Pancreas_Head	1	1067	juQTL
Pancreas_Tail	1	1088	juQTL
Skin	1	423	juQTL
Spleen	1	514	juQTL
Whole_Blood	1	828	juQTL
Adipose	2	542	juQTL
Adrenal_Gland	2	537	juQTL
Gallbladder	2	472	juQTL
Liver	2	472	juQTL
Muscle	2	277	juQTL
Pancreas_Body	2	492	juQTL
Pancreas_Head	2	465	juQTL
Pancreas_Tail	2	489	juQTL
Skin	2	281	juQTL
Spleen	2	313	juQTL
Whole_Blood	2	390	juQTL
Adipose	0	1077	tuQTL
Adrenal_Gland	0	1152	tuQTL
Gallbladder	0	991	tuQTL
Liver	0	1025	tuQTL
Muscle	0	356	tuQTL
Pancreas_Body	0	949	tuQTL
Pancreas_Head	0	950	tuQTL
Pancreas_Tail	0	981	tuQTL
Skin	0	324	tuQTL
Spleen	0	480	tuQTL
Whole_Blood	0	812	tuQTL
Adipose	1	701	tuQTL
Adrenal_Gland	1	783	tuQTL
Gallbladder	1	635	tuQTL
Liver	1	642	tuQTL
Muscle	1	271	tuQTL
Pancreas_Body	1	645	tuQTL
Pancreas_Head	1	590	tuQTL
Pancreas_Tail	1	643	tuQTL
Skin	1	237	tuQTL
Spleen	1	324	tuQTL
Whole_Blood	1	533	tuQTL
Adipose	2	272	tuQTL
Adrenal_Gland	2	266	tuQTL
Gallbladder	2	224	tuQTL
Liver	2	220	tuQTL
Muscle	2	106	tuQTL
Pancreas_Body	2	203	tuQTL
Pancreas_Head	2	214	tuQTL
Pancreas_Tail	2	215	tuQTL
Skin	2	110	tuQTL
Spleen	2	133	tuQTL
Whole_Blood	2	179	tuQTL
