x_left	x_right	x_width	x_center	raw_x_center	count	y
0.0	53.56666666666667	53.56666666666667	26.783333333333335	26.783333333333335	108260	5.034468022755043
53.56666666666667	107.13333333333334	53.56666666666667	80.35000000000001	80.35000000000001	16530	4.218272853571447
107.13333333333334	160.70000000000002	53.56666666666668	133.91666666666669	133.91666666666669	9128	3.9603756314101584
160.70000000000002	214.26666666666668	53.56666666666666	187.48333333333335	187.48333333333335	5856	3.767601068050336
214.26666666666668	267.83333333333337	53.56666666666669	241.05	241.05	3961	3.597804842404293
267.83333333333337	321.40000000000003	53.56666666666666	294.6166666666667	294.6166666666667	3125	3.494850021680094
321.40000000000003	374.9666666666667	53.56666666666666	348.1833333333334	348.1833333333334	2531	3.4032921451582543
374.9666666666667	428.53333333333336	53.56666666666666	401.75	401.75	2203	3.343014497150768
428.53333333333336	482.1	53.56666666666666	455.3166666666667	455.3166666666667	1866	3.270911639410481
482.1	535.6666666666667	53.56666666666672	508.8833333333334	508.8833333333334	1530	3.184691430817599
535.6666666666667	589.2333333333333	53.566666666666606	562.45	562.45	1340	3.1271047983648077
589.2333333333333	642.8000000000001	53.56666666666672	616.0166666666667	616.0166666666667	1103	3.0425755124401905
642.8000000000001	696.3666666666667	53.566666666666606	669.5833333333334	669.5833333333334	1078	3.03261876085072
696.3666666666667	749.9333333333334	53.56666666666672	723.1500000000001	723.1500000000001	918	2.9628426812012423
749.9333333333334	803.5	53.566666666666606	776.7166666666667	776.7166666666667	845	2.926856708949692
803.5	857.0666666666667	53.56666666666672	830.2833333333333	830.2833333333333	800	2.903089986991944
857.0666666666667	910.6333333333334	53.56666666666672	883.8500000000001	883.8500000000001	688	2.837588438235511
910.6333333333334	964.2	53.566666666666606	937.4166666666669	937.4166666666669	668	2.824776462475546
964.2	1017.7666666666668	53.56666666666672	990.9833333333332	990.9833333333332	607	2.7831886910752575
1017.7666666666668	1071.3333333333337	53.56666666666672	1044.5500000000002	1044.5500000000002	606	2.782472624166286
1071.3333333333337	1124.9	53.566666666666606	1098.1166666666668	1098.1166666666668	567	2.7535830588929064
1124.9	1178.4666666666667	53.566666666666606	1151.6833333333334	1151.6833333333334	462	2.6646419755561257
1178.4666666666667	1232.0333333333333	53.566666666666606	1205.25	1205.25	511	2.708420900134713
1232.0333333333333	1285.6	53.56666666666683	1258.8166666666666	1258.8166666666666	435	2.6384892569546374
1285.6	1339.1666666666667	53.566666666666606	1312.3833333333334	1312.3833333333334	473	2.6748611407378116
1339.1666666666667	1392.7333333333331	53.566666666666606	1365.95	1365.95	546	2.7371926427047373
1392.7333333333331	1446.3000000000002	53.56666666666683	1419.5166666666669	1419.5166666666669	545	2.7363965022766426
1446.3000000000002	1499.8666666666668	53.566666666666606	1473.0833333333337	1473.0833333333337	653	2.814913181275074
1499.8666666666668	1553.4333333333334	53.566666666666606	1526.65	1526.65	579	2.762678563727436
1553.4333333333334	1607.0	53.566666666666606	1580.2166666666667	1580.2166666666667	2290	3.359835482339888
