x_left	x_right	x_width	x_center	raw_x_center	count	y	status
0.0	0.0273663632421801	0.0273663632421801	0.01368318162109	0.0320082797342096	160529	5.2055535003065465	passed
0.0273663632421801	0.0547327264843602	0.0273663632421801	0.0410495448632701	0.0991312225591845	14205	4.152441238058954	passed
0.0547327264843602	0.0820990897265403	0.0273663632421801	0.0684159081054502	0.1706199147119118	5639	3.7512020945883537	passed
0.0820990897265403	0.1094654529687204	0.0273663632421801	0.0957822713476303	0.2467583092848908	2581	3.411788004543869	passed
0.1094654529687204	0.1368318162109005	0.0273663632421801	0.1231486345898104	0.3278488279891061	1350	3.130333768495006	passed
0.1368318162109005	0.1641981794530806	0.0273663632421801	0.1505149978319906	0.4142135623730951	781	2.8926510338773004	passed
0.1641981794530806	0.1915645426952607	0.0273663632421801	0.1778813610741707	0.5061955531706117	516	2.7126497016272113	passed
0.1915645426952607	0.2189309059374408	0.0273663632421801	0.2052477243163508	0.6041601528584557	266	2.424881636631067	passed
0.2189309059374408	0.246297269179621	0.0273663632421801	0.2326140875585309	0.7084964768365467	155	2.1903316981702914	passed
0.246297269179621	0.2736636324218011	0.02736636324218	0.259980450800711	0.8196189489943335	124	2.093421685162235	passed
0.2736636324218011	0.3010299956639812	0.0273663632421801	0.2873468140428911	0.9379689478025248	42	1.6232492903979006	passed
0.3010299956639812	0.3278481844535507	0.0268181887895694	0.3144390900587659	1.0627143506694852	32	1.505149978319906	filtered
0.3278481844535507	0.3546663732431201	0.0268181887895694	0.3412572788483354	1.194104351971217	39	1.591064607026499	filtered
0.3546663732431201	0.3814845620326896	0.0268181887895694	0.3680754676379049	1.333863584056874	87	1.9395192526186185	filtered
0.3814845620326896	0.4083027508222591	0.0268181887895694	0.3948936564274743	1.4825251470346896	66	1.8195439355418688	filtered
0.4083027508222591	0.4351209396118285	0.0268181887895694	0.4217118452170438	1.640656098222673	24	1.380211241711606	filtered
0.4351209396118285	0.461939128401398	0.0268181887895694	0.4485300340066133	1.808859615142159	31	1.4913616938342726	filtered
0.461939128401398	0.4887573171909675	0.0268181887895694	0.4753482227961828	1.987777296288909	10	1.0	filtered
0.4887573171909675	0.5155755059805369	0.0268181887895694	0.5021664115857523	2.178091608457858	8	0.9030899869919436	filtered
0.5155755059805369	0.5423936947701065	0.0268181887895695	0.5289846003753217	2.380528489956632	7	0.8450980400142568	filtered
0.5423936947701065	0.569211883559676	0.0268181887895695	0.5558027891648912	2.595860119637582	7	0.8450980400142568	filtered
0.569211883559676	0.5960300723492453	0.0268181887895693	0.5826209779544607	2.8249078623105706	5	0.6989700043360189	filtered
0.5960300723492453	0.6228482611388149	0.0268181887895695	0.6094391667440301	3.068545401771561	6	0.7781512503836436	filtered
0.6228482611388149	0.6496664499283844	0.0268181887895695	0.6362573555335996	3.3277020733976723	1	0.0	filtered
0.6496664499283844	0.6764846387179537	0.0268181887895693	0.6630755443231691	3.60336640902062	2	0.3010299956639812	filtered
0.6764846387179537	0.7033028275075233	0.0268181887895695	0.6898937331127385	3.896589907600177	2	0.3010299956639812	filtered
0.7033028275075233	0.7301210162970928	0.0268181887895695	0.716711921902308	4.2084910460805585	2	0.3010299956639812	filtered
0.7301210162970928	0.7569392050866622	0.0268181887895694	0.7435301106918775	4.540259545728833	2	0.3010299956639812	filtered
0.7569392050866622	0.7837573938762317	0.0268181887895694	0.770348299481447	4.893160910228954	3	0.4771212547196624	filtered
0.7837573938762317	0.8105755826658011	0.0268181887895694	0.7971664882710163	5.268541252841579	20	1.3010299956639813	filtered
