sample	tissue	tissue_label	tissue_color	total_reads_million	mapped_reads_million
GTOP-AK281-1108-LN-OG4N	Pancreas_Head	Pancreas head	#AB5F2C	8.28844	8.287902
GTOP-BK281-1108-LN-D3GQ	Pancreas_Head	Pancreas head	#AB5F2C	5.876781	5.859257
GTOP-BA041-1108-LN-9UTR	Pancreas_Head	Pancreas head	#AB5F2C	5.320651	5.317101
GTOP-CH082-1108-LN-08WI	Pancreas_Head	Pancreas head	#AB5F2C	5.95659	5.953801
GTOP-CJ231-2099-LN-JL20	Adrenal_Gland	Adrenal gland	#A8D650	6.676638	6.66827
GTOP-AJ231-2099-LN-1EPN	Adrenal_Gland	Adrenal gland	#A8D650	8.385718	8.384805
GTOP-BA251-2099-LN-BR3Z	Adrenal_Gland	Adrenal gland	#A8D650	8.693785	8.693268
GTOP-CF242-2099-LN-6Y37	Adrenal_Gland	Adrenal gland	#A8D650	8.289482	8.285242
GTOP-BA131-2099-LN-H19X	Adrenal_Gland	Adrenal gland	#A8D650	8.324708	8.322627
GTOP-BA191-2099-LN-0UK9	Adrenal_Gland	Adrenal gland	#A8D650	6.330836	6.329533
GTOP-AK221-2099-LN-HRK7	Adrenal_Gland	Adrenal gland	#A8D650	7.158978	7.157743
GTOP-CI221-2099-LN-05WJ	Adrenal_Gland	Adrenal gland	#A8D650	6.485617	6.462213
GTOP-CL141-2099-LN-MY4B	Adrenal_Gland	Adrenal gland	#A8D650	6.484131	6.480184
GTOP-BL021-2099-LN-XW9E	Adrenal_Gland	Adrenal gland	#A8D650	7.144926	7.143291
GTOP-BC181-2099-LN-HJV7	Adrenal_Gland	Adrenal gland	#A8D650	6.227553	6.226988
GTOP-CI211-2099-LN-B3PR	Adrenal_Gland	Adrenal gland	#A8D650	5.043684	5.042949
GTOP-CI222-2099-LN-7TK9	Adrenal_Gland	Adrenal gland	#A8D650	4.957356	4.957032
GTOP-AJ141-2099-LN-7RT0	Adrenal_Gland	Adrenal gland	#A8D650	7.775201	7.771012
GTOP-CF201-2099-LN-29BV	Adrenal_Gland	Adrenal gland	#A8D650	7.488042	7.48732
GTOP-BE161-1710-LN-OIX3	Esophagus	Esophagus	#AF8C5C	6.377999	6.361488
GTOP-AJ221-1710-LN-BC49	Esophagus	Esophagus	#AF8C5C	5.470476	5.469106
GTOP-AK091-1710-LN-GV2U	Esophagus	Esophagus	#AF8C5C	9.244726	9.187305
GTOP-AK231-1710-LN-PM9Z	Esophagus	Esophagus	#AF8C5C	8.053396	8.052084
GTOP-AK112-1710-LN-JIC2	Esophagus	Esophagus	#AF8C5C	9.768965	9.761188
GTOP-CB271-1710-LN-CZ7Q	Esophagus	Esophagus	#AF8C5C	6.627984	6.62695
GTOP-BB201-1710-LN-Q6TK	Esophagus	Esophagus	#AF8C5C	8.684096	8.646322
GTOP-CK031-1710-LN-BX1M	Esophagus	Esophagus	#AF8C5C	4.82936	4.828781
GTOP-BH131-1710-LN-MU4U	Esophagus	Esophagus	#AF8C5C	5.570071	5.568021
GTOP-CC241-1710-LN-2QA5	Esophagus	Esophagus	#AF8C5C	5.824566	5.822571
GTOP-CC311-5156-LN-UC02	Lung_Apex	Lung apex	#76ADB8	6.830345	6.82864
GTOP-CG041-5156-LN-75CF	Lung_Apex	Lung apex	#76ADB8	8.139617	8.134939
GTOP-CC241-5156-LN-N083	Lung_Apex	Lung apex	#76ADB8	9.129405	9.128892
GTOP-CC201-5156-LN-3MVY	Lung_Apex	Lung apex	#76ADB8	6.49206	6.491154
GTOP-CC311-4002-LN-M5OW	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	6.417162	6.416377
GTOP-BB202-4002-LN-9XH4	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.376523	5.375848
GTOP-CG071-4002-LN-E1ES	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.686037	5.685779
GTOP-CD021-4002-LN-6XQK	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.126036	5.124767
GTOP-CB271-4002-LN-F4Z7	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.339791	5.339467
GTOP-CG041-4002-LN-9L7Z	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	4.923268	4.923009
GTOP-CL171-4002-LN-1NA8	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	6.674964	6.672079
GTOP-CC241-4002-LN-7E3Z	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	7.751689	7.750895
GTOP-CI301-4002-LN-SD84	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.11631	5.115857
GTOP-AK091-4002-LN-K2CP	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	7.778545	7.775465
GTOP-CK031-4002-LN-3IEX	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.375411	5.375124
GTOP-BH131-4002-LN-W126	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.408051	5.40776
GTOP-AK112-4002-LN-253Y	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	6.123558	6.12328
GTOP-BB201-4002-LN-Z5WK	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	6.08588	6.085163
GTOP-AJ221-4002-LN-39L6	Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	5.163858	5.161936
GTOP-CG261-4151-LN-OVW1	Abdominal_Aorta	Abdominal aorta	#cbc5d3	4.626501	4.619985
GTOP-CF301-4151-LN-WSZ0	Abdominal_Aorta	Abdominal aorta	#cbc5d3	5.50916	5.508255
GTOP-BE161-5302-LN-LB1J	Trachea	Trachea	#D285A5	5.534595	5.533589
GTOP-CC241-6235-LN-1J0W	Ovary	Ovary	#DF898D	6.08836	6.087354
GTOP-CJ092-6235-LN-PE0V	Ovary	Ovary	#DF898D	4.976134	4.975819
GTOP-CH041-3170-LN-3NQR	Lymph_node	Lymph node	#ACAA95	5.055051	5.054826
GTOP-CC201-3170-LN-A2ZW	Lymph_node	Lymph node	#ACAA95	5.66665	5.666156
GTOP-CA081-3170-LN-VK0A	Lymph_node	Lymph node	#ACAA95	5.906865	5.905791
GTOP-BL261-3170-LN-P4JY	Lymph_node	Lymph node	#ACAA95	8.471575	8.470521
GTOP-BA231-4155-LN-ACR5	Aortic_Arch	Aortic arch	#758E90	6.639005	6.637225
GTOP-CB271-4155-LN-A5YE	4155	4155	#7f8080	6.3362	6.33533
GTOP-AJ221-4155-LN-5B1V	Aortic_Arch	Aortic arch	#758E90	5.477684	5.477033
GTOP-BF251-4155-LN-WJR6	Aortic_Arch	Aortic arch	#758E90	5.429685	5.428804
GTOP-CB271-4155-LN-SJT3	Aortic_Arch	Aortic arch	#758E90	7.099994	7.085189
GTOP-BB201-4155-LN-8S6G	Aortic_Arch	Aortic arch	#758E90	7.06647	7.064926
GTOP-CI221-6145-LN-J1HF	Uterus	Uterus	#E35656	8.060965	8.047107
GTOP-CG041-6145-LN-W6Z6	Prostate	Prostate	#0CE3C3	7.015625	7.013715
GTOP-CG071-6145-LN-AYE3	Prostate	Prostate	#0CE3C3	7.042121	7.040788
GTOP-CJ151-6145-LN-FK77	Prostate	Prostate	#0CE3C3	7.299531	7.292852
GTOP-CL111-6145-LN-D3UY	Prostate	Prostate	#0CE3C3	6.998436	6.991347
GTOP-BK071-4150-LN-5E9V	Common_Iliac_Artery	Common iliac artery	#d0d1e6	6.220983	6.218727
