tissue	validate_status	count	ratio	tissue_label	tissue_color
Pancreas_Tail	Unique peptide	2064	0.35257943286641613	Pancreas tail	#E59276
Prostate	No peptide	4454	0.3910791114233032	Prostate	#0CE3C3
Prostate	Shared peptide	3603	0.31635788919132496	Prostate	#0CE3C3
Prostate	Unique peptide	3332	0.29256299938537184	Prostate	#0CE3C3
Skin	No peptide	7050	0.4857044436789528	Skin	#3A71A4
Skin	Shared peptide	4753	0.32745435756114366	Skin	#3A71A4
Skin	Unique peptide	2712	0.18684119875990354	Skin	#3A71A4
Small_Intestine	No peptide	3762	0.3494983277591973	Small intestine	#535426
Small_Intestine	Shared peptide	3591	0.33361204013377926	Small intestine	#535426
Small_Intestine	Unique peptide	3411	0.3168896321070234	Small intestine	#535426
Spleen	No peptide	4509	0.38548345729674277	Spleen	#768454
Spleen	Shared peptide	3903	0.3336753013593229	Spleen	#768454
Spleen	Unique peptide	3285	0.28084124134393434	Spleen	#768454
Stomach	No peptide	5231	0.3872233325930861	Stomach	#F8D895
Stomach	Shared peptide	4860	0.3597601598934044	Stomach	#F8D895
Stomach	Unique peptide	3418	0.2530165075135095	Stomach	#F8D895
Thoracic_Aorta	No peptide	5512	0.47030716723549487	Thoracic aorta	#7e888e
Thoracic_Aorta	Shared peptide	3556	0.30341296928327643	Thoracic aorta	#7e888e
Thoracic_Aorta	Unique peptide	2652	0.22627986348122867	Thoracic aorta	#7e888e
Trachea	No peptide	1929	0.34244629859755016	Trachea	#D285A5
Trachea	Shared peptide	1348	0.2393041008343689	Trachea	#D285A5
Trachea	Unique peptide	2356	0.41824960056808097	Trachea	#D285A5
Uterus	No peptide	3803	0.4885662898252826	Uterus	#E35656
Uterus	Shared peptide	1816	0.23329907502569372	Uterus	#E35656
Uterus	Unique peptide	2165	0.27813463514902365	Uterus	#E35656
