x_left	x_right	x_width	x_center	raw_x_center	count	y
0.0	11.4	11.4	5.7	5.7	192914	5.285363746058194
11.4	22.8	11.4	17.1	17.1	16770	4.224533062606086
22.8	34.2	11.400000000000002	28.5	28.5	8975	3.953034457250357
34.2	45.6	11.4	39.900000000000006	39.900000000000006	4709	3.6729286904427223
45.6	57.0	11.4	51.3	51.3	3307	3.519434194913703
57.0	68.4	11.400000000000006	62.7	62.7	2901	3.4625477288026643
68.4	79.8	11.399999999999991	74.1	74.1	1939	3.287577809078705
79.8	91.2	11.400000000000006	85.5	85.5	1709	3.232742062720737
91.2	102.6	11.400000000000006	96.9	96.9	1331	3.124178055474675
102.6	114.0	11.399999999999991	108.3	108.3	1135	3.0549958615291417
114.0	125.4	11.400000000000006	119.7	119.7	1000	3.0
125.4	136.8	11.400000000000006	131.10000000000002	131.10000000000002	817	2.9122220565324155
136.8	148.20000000000002	11.400000000000006	142.5	142.5	800	2.903089986991944
148.20000000000002	159.6	11.399999999999975	153.9	153.9	575	2.7596678446896306
159.6	171.0	11.400000000000006	165.3	165.3	614	2.788168371141168
171.0	182.4	11.400000000000006	176.7	176.7	606	2.782472624166286
182.4	193.8	11.400000000000006	188.1	188.1	461	2.663700925389648
193.8	205.2	11.400000000000006	199.5	199.5	460	2.6627578316815743
205.2	216.6	11.399999999999975	210.9	210.9	414	2.617000341120899
216.6	228.0	11.400000000000006	222.3	222.3	373	2.571708831808688
228.0	239.4	11.400000000000006	233.7	233.7	400	2.6020599913279625
239.4	250.8	11.400000000000006	245.1	245.1	287	2.4578818967339924
250.8	262.2	11.399999999999975	256.5	256.5	322	2.507855871695831
262.2	273.6	11.400000000000034	267.9	267.9	250	2.3979400086720375
273.6	285.0	11.399999999999975	279.3	279.3	271	2.432969290874406
285.0	296.40000000000003	11.400000000000034	290.70000000000005	290.70000000000005	281	2.44870631990508
296.40000000000003	307.8	11.399999999999975	302.1	302.1	282	2.450249108319361
307.8	319.2	11.399999999999975	313.5	313.5	284	2.4533183400470375
319.2	330.6	11.400000000000034	324.9	324.9	304	2.482873583608754
330.6	342.0	11.399999999999975	336.3	336.3	593	2.7730546933642626
