1151	HG02577	ACB	0.000010	0.777111	0.222859	0.000010	0.000010
873	HG01956	ACB	0.000010	0.925182	0.072224	0.002575	0.000010
925	HG02054	ACB	0.000010	0.864075	0.128407	0.003827	0.003681
837	HG01883	ACB	0.000010	0.860315	0.136612	0.003053	0.000010
1136	HG02541	ACB	0.000822	0.813795	0.177667	0.007706	0.000010
1152	HG02580	ACB	0.012844	0.839655	0.147481	0.000010	0.000010
1129	HG02511	ACB	0.009846	0.934046	0.047993	0.000010	0.008104
1048	HG02322	ACB	0.000010	0.867114	0.123475	0.009390	0.000010
1105	HG02455	ACB	0.005089	0.845476	0.137046	0.010486	0.001903
891	HG01989	ACB	0.008303	0.835329	0.156348	0.000010	0.000010
1029	HG02282	ACB	0.000010	0.796238	0.201113	0.002629	0.000010
1099	HG02433	ACB	0.018992	0.865174	0.099510	0.011885	0.004439
1125	HG02501	ACB	0.004724	0.798723	0.191676	0.004867	0.000010
1054	HG02337	ACB	0.000010	0.874646	0.112309	0.000010	0.013025
1051	HG02330	ACB	0.002410	0.884477	0.098329	0.014774	0.000010
1030	HG02283	ACB	0.000010	0.794462	0.167028	0.034224	0.004276
1016	HG02256	ACB	0.002121	0.773292	0.194791	0.000010	0.029785
1095	HG02420	ACB	0.000010	0.567367	0.432603	0.000010	0.000010
835	HG01880	ACB	0.045660	0.532544	0.065865	0.335279	0.020652
890	HG01988	ACB	0.000010	0.542092	0.455479	0.000010	0.002409
1259	HG02819	GWD	0.000010	0.999960	0.000010	0.000010	0.000010
1108	HG02464	GWD	0.000010	0.994365	0.005605	0.000010	0.000010
1172	HG02623	GWD	0.000387	0.989979	0.005293	0.004331	0.000010
1250	HG02805	GWD	0.000010	0.990691	0.000010	0.009279	0.000010
1173	HG02624	GWD	0.000010	0.988619	0.000356	0.011005	0.000010
1192	HG02666	GWD	0.000010	0.988952	0.003778	0.000010	0.007249
1212	HG02703	GWD	0.000010	0.985412	0.002137	0.011454	0.000987
1160	HG02595	GWD	0.000010	0.991257	0.008713	0.000010	0.000010
1282	HG02895	GWD	0.000010	0.984731	0.010232	0.005017	0.000010
1181	HG02646	GWD	0.009992	0.988051	0.000010	0.000010	0.001937
1272	HG02878	GWD	0.000010	0.983478	0.011129	0.005373	0.000010
1249	HG02804	GWD	0.000010	0.998451	0.001519	0.000010	0.000010
1154	HG02583	GWD	0.000010	0.996323	0.003647	0.000010	0.000010
1278	HG02887	GWD	0.000010	0.990134	0.007134	0.002712	0.000010
1262	HG02837	GWD	0.000010	0.990029	0.006668	0.003283	0.000010
1155	HG02585	GWD	0.000010	0.988221	0.008180	0.000010	0.003580
1228	HG02759	GWD	0.000010	0.985775	0.013631	0.000574	0.000010
1167	HG02611	GWD	0.003633	0.980955	0.000010	0.015392	0.000010
1194	HG02675	GWD	0.000010	0.989288	0.010682	0.000010	0.000010
1153	HG02582	GWD	0.000010	0.981001	0.016139	0.002840	0.000010
1409	HG03258	GWD	0.000010	0.979801	0.015678	0.004501	0.000010
1283	HG02896	GWD	0.000010	0.982032	0.002647	0.010857	0.004454
1303	HG02982	GWD	0.000010	0.977130	0.022840	0.000010	0.000010
1323	HG03048	GWD	0.000010	0.991579	0.008391	0.000010	0.000010
1266	HG02852	GWD	0.000010	0.982962	0.017008	0.000010	0.000010
1175	HG02629	GWD	0.001243	0.980307	0.000010	0.009761	0.008680
1263	HG02839	GWD	0.001784	0.975344	0.022852	0.000010	0.000010
1410	HG03259	GWD	0.000010	0.973101	0.003598	0.018936	0.004355
1148	HG02571	GWD	0.000010	0.980108	0.019795	0.000010	0.000076
1174	HG02628	GWD	0.000010	0.988794	0.006245	0.004941	0.000010
1405	HG03240	GWD	0.000010	0.990287	0.009683	0.000010	0.000010
1280	HG02890	GWD	0.000010	0.973215	0.014088	0.009739	0.002948
1316	HG03025	GWD	0.000010	0.992768	0.004453	0.002759	0.000010
1106	HG02461	GWD	0.007198	0.980052	0.012729	0.000010	0.000010
1156	HG02586	GWD	0.000010	0.975314	0.024656	0.000010	0.000010
1255	HG02813	GWD	0.000010	0.991191	0.008779	0.000010	0.000010
