group	group_label	group_color	transcript_type	transcript_label	sample_size	mean_detection_ratio	incremental_detection_ratio
Diaphragm	Diaphragm	#00CED1	known	Annotated	3	0.6939858273575238	0.099236997425183
Diaphragm	Diaphragm	#00CED1	known	Annotated	4	0.7630345213253236	0.06904869396779978
Diaphragm	Diaphragm	#00CED1	known	Annotated	5	0.8175282526890593	0.0544937313637357
Diaphragm	Diaphragm	#00CED1	known	Annotated	6	0.8642409471978051	0.04671269450874582
Diaphragm	Diaphragm	#00CED1	known	Annotated	7	0.9031180052825548	0.03887705808474973
Diaphragm	Diaphragm	#00CED1	known	Annotated	8	0.9382901394222366	0.03517213413968179
Diaphragm	Diaphragm	#00CED1	known	Annotated	9	0.9709093287595164	0.03261918933727981
Diaphragm	Diaphragm	#00CED1	known	Annotated	10	1.0	0.02909067124048359
Diaphragm	Diaphragm	#00CED1	novel	Novel	1	0.2966641437465152	0.2966641437465152
Diaphragm	Diaphragm	#00CED1	novel	Novel	2	0.4509897681175341	0.15432562437101893
Diaphragm	Diaphragm	#00CED1	novel	Novel	3	0.5733803950354996	0.12239062691796554
Diaphragm	Diaphragm	#00CED1	novel	Novel	4	0.6634621946852051	0.09008179964970542
Diaphragm	Diaphragm	#00CED1	novel	Novel	5	0.7379148155992712	0.07445262091406613
Diaphragm	Diaphragm	#00CED1	novel	Novel	6	0.8032863294120123	0.06537151381274109
Diaphragm	Diaphragm	#00CED1	novel	Novel	7	0.859022613669418	0.05573628425740573
Diaphragm	Diaphragm	#00CED1	novel	Novel	8	0.9096882184891036	0.05066560481968563
Diaphragm	Diaphragm	#00CED1	novel	Novel	9	0.9571795956415776	0.04749137715247398
Diaphragm	Diaphragm	#00CED1	novel	Novel	10	1.0	0.04282040435842238
Esophagus	Esophagus	#AF8C5C	known	Annotated	1	0.481496059717169	0.481496059717169
Esophagus	Esophagus	#AF8C5C	known	Annotated	2	0.6309618230375217	0.14946576332035266
Esophagus	Esophagus	#AF8C5C	known	Annotated	3	0.7233714592180727	0.09240963618055098
Esophagus	Esophagus	#AF8C5C	known	Annotated	4	0.7873155072019618	0.06394404798388909
Esophagus	Esophagus	#AF8C5C	known	Annotated	5	0.8378245041810796	0.050508996979117815
Esophagus	Esophagus	#AF8C5C	known	Annotated	6	0.8817337025524273	0.04390919837134777
Esophagus	Esophagus	#AF8C5C	known	Annotated	7	0.9197784685434076	0.03804476599098028
Esophagus	Esophagus	#AF8C5C	known	Annotated	8	0.9503492185105732	0.030570749967165578
Esophagus	Esophagus	#AF8C5C	known	Annotated	9	0.9763429359485124	0.025993717437939212
Esophagus	Esophagus	#AF8C5C	known	Annotated	10	1.0	0.023657064051487597
Esophagus	Esophagus	#AF8C5C	novel	Novel	1	0.3017806179649314	0.3017806179649314
Esophagus	Esophagus	#AF8C5C	novel	Novel	2	0.4630267276559474	0.161246109691016
Esophagus	Esophagus	#AF8C5C	novel	Novel	3	0.5783074577335297	0.11528073007758227
Esophagus	Esophagus	#AF8C5C	novel	Novel	4	0.6648251939548855	0.08651773622135583
Esophagus	Esophagus	#AF8C5C	novel	Novel	5	0.738287008386027	0.07346181443114153
Esophagus	Esophagus	#AF8C5C	novel	Novel	6	0.8054639221489746	0.06717691376294754
Esophagus	Esophagus	#AF8C5C	novel	Novel	7	0.8660947576124479	0.060630835463473365
Esophagus	Esophagus	#AF8C5C	novel	Novel	8	0.9161354769272202	0.050040719314772275
Esophagus	Esophagus	#AF8C5C	novel	Novel	9	0.9595156285035216	0.04338015157630137
Esophagus	Esophagus	#AF8C5C	novel	Novel	10	1.0	0.04048437149647843
Gallbladder	Gallbladder	#8F8495	known	Annotated	1	0.5160622017085903	0.5160622017085903
Gallbladder	Gallbladder	#8F8495	known	Annotated	2	0.6521248046448056	0.1360626029362153
Gallbladder	Gallbladder	#8F8495	known	Annotated	3	0.7384169557659893	0.08629215112118371
Gallbladder	Gallbladder	#8F8495	known	Annotated	4	0.7989560155372507	0.060539059771261394
Gallbladder	Gallbladder	#8F8495	known	Annotated	5	0.8460871295067863	0.04713111396953562
Gallbladder	Gallbladder	#8F8495	known	Annotated	6	0.8862861100173008	0.040198980510514515
Gallbladder	Gallbladder	#8F8495	known	Annotated	7	0.9203386169267544	0.034052506909453606
Gallbladder	Gallbladder	#8F8495	known	Annotated	8	0.9503548538961044	0.030016236969349963
Gallbladder	Gallbladder	#8F8495	known	Annotated	9	0.9762970100974824	0.025942156201377964
Gallbladder	Gallbladder	#8F8495	known	Annotated	10	1.0	0.023702989902517624
Gallbladder	Gallbladder	#8F8495	novel	Novel	1	0.3314181285605311	0.3314181285605311
Gallbladder	Gallbladder	#8F8495	novel	Novel	2	0.4869627640388205	0.1555446354782894
Gallbladder	Gallbladder	#8F8495	novel	Novel	3	0.598731746668274	0.1117689826294535
Gallbladder	Gallbladder	#8F8495	novel	Novel	4	0.6836705090580062	0.08493876238973219
Gallbladder	Gallbladder	#8F8495	novel	Novel	5	0.7531971595251821	0.06952665046717588
Gallbladder	Gallbladder	#8F8495	novel	Novel	6	0.8146715719160479	0.06147441239086582
