x_left	x_right	x_width	x_center	raw_x_center	count	y	status
0.0	0.2603481712895562	0.2603481712895562	0.1301740856447781	0.3495037187195415	1795	1795.0	filtered
0.2603481712895562	0.5206963425791125	0.2603481712895562	0.3905222569343343	1.4576625794720552	3912	3912.0	filtered
0.5206963425791125	0.7810445138686687	0.2603481712895562	0.6508704282238906	3.4757974881820326	6865	6865.0	filtered
0.7810445138686687	1.041392685158225	0.2603481712895562	0.9112185995134467	7.151144637405814	10165	10165.0	filtered
1.041392685158225	1.287540826745193	0.2461481415869681	1.164466755951709	13.603829568636476	22494	22494.0	passed
1.287540826745193	1.5336889683321613	0.2461481415869681	1.4106148975386772	24.740376652569587	33377	33377.0	passed
1.5336889683321613	1.7798371099191297	0.2461481415869681	1.6567630391256454	44.36940034133881	45090	45090.0	passed
1.7798371099191297	2.0259852515060977	0.2461481415869681	1.9029111807126136	78.9670694456288	52830	52830.0	passed
2.0259852515060977	2.272133393093066	0.2461481415869681	2.149059322299582	139.94813128696774	50090	50090.0	passed
2.272133393093066	2.5182815346800345	0.2461481415869686	2.39520746388655	247.43195894274743	41418	41418.0	passed
2.5182815346800345	2.764429676267002	0.2461481415869677	2.6413556054735183	436.8805001569929	31644	31644.0	passed
2.764429676267002	3.010577817853971	0.2461481415869686	2.8875037470604865	770.7981745735287	22752	22752.0	passed
3.010577817853971	3.256725959440939	0.2461481415869681	3.1336518886474547	1359.3538455388289	15507	15507.0	passed
3.256725959440939	3.502874101027907	0.2461481415869681	3.3798000302344233	2396.7286368872847	10099	10099.0	passed
3.502874101027907	3.7490222426148754	0.2461481415869681	3.625948171821391	4225.181765136376	6351	6351.0	passed
3.7490222426148754	3.995170384201843	0.2461481415869681	3.87209631340836	7447.971512955603	4240	4240.0	passed
3.995170384201843	4.241318525788811	0.2461481415869677	4.118244454995327	13128.387159483293	2864	2864.0	passed
4.241318525788811	4.48746666737578	0.2461481415869686	4.364392596582295	23140.558117626297	1963	1963.0	passed
4.48746666737578	4.7336148089627486	0.2461481415869686	4.610540738169265	40787.782111940825	1375	1375.0	passed
4.7336148089627486	4.979762950549716	0.2461481415869677	4.856688879756232	71892.37631108612	992	992.0	passed
4.979762950549716	5.225911092136684	0.2461481415869677	5.1028370213432	126716.62405708912	698	698.0	passed
5.225911092136684	5.4720592337236535	0.2461481415869695	5.348985162930169	223348.5917230656	429	429.0	passed
5.4720592337236535	5.718207375310621	0.2461481415869677	5.595133304517137	393669.892222425	221	221.0	passed
5.718207375310621	5.964355516897589	0.2461481415869677	5.841281446104105	693874.3287508034	109	109.0	passed
5.964355516897589	6.210503658484557	0.2461481415869677	6.087429587691073	1223007.8161484078	71	71.0	passed
6.210503658484557	6.456651800071526	0.2461481415869695	6.3335777292780415	2155646.4231034564	24	24.0	passed
6.456651800071526	6.702799941658494	0.2461481415869677	6.57972587086501	3799493.943435222	12	12.0	passed
6.702799941658494	6.948948083245462	0.2461481415869677	6.825874012451978	6696902.060522877	7	7.0	passed
6.948948083245462	7.1950962248324295	0.2461481415869677	7.072022154038946	11803807.47184178	6	6.0	passed
7.1950962248324295	7.441244366419399	0.2461481415869695	7.318170295625914	20805122.380275648	4	4.0	passed
