type	Consequence	total_in_type	count	pro
6	stop_gained	31846	8	0.000251208943038372
6	synonymous_variant	31846	9	0.000282610060918169
6	upstream_gene_variant	31846	2105	0.0660993531369717
VNTR	3_prime_UTR_variant	49159	372	0.00756728167782095
VNTR	5_prime_UTR_variant	49159	249	0.00506519660692854
VNTR	coding_sequence_variant	49159	8	0.000162737240383246
VNTR	downstream_gene_variant	49159	2126	0.0432474216318477
VNTR	frameshift_variant	49159	71	0.00144429300840131
VNTR	inframe_deletion	49159	31	0.000630606806485079
VNTR	inframe_insertion	49159	50	0.00101710775239529
VNTR	intergenic_variant	49159	10096	0.205374397363657
VNTR	intron_variant	49159	31144	0.633536076811978
VNTR	mature_miRNA_variant	49159	2	4.06843100958116e-05
VNTR	missense_variant	49159	5	0.000101710775239529
VNTR	non_coding_transcript_exon_variant	49159	1046	0.0212778941801094
VNTR	protein_altering_variant	49159	1	2.03421550479058e-05
VNTR	splice_acceptor_variant	49159	47	0.000956081287251571
VNTR	splice_donor_5th_base_variant	49159	5	0.000101710775239529
VNTR	splice_donor_region_variant	49159	3	6.10264651437173e-05
VNTR	splice_donor_variant	49159	88	0.00179010964421571
VNTR	splice_polypyrimidine_tract_variant	49159	648	0.0131817164710429
VNTR	splice_region_variant	49159	22	0.000447527411053927
VNTR	start_lost	49159	1	2.03421550479058e-05
VNTR	stop_gained	49159	42	0.000854370512012043
VNTR	stop_lost	49159	2	4.06843100958116e-05
VNTR	stop_retained_variant	49159	2	4.06843100958116e-05
VNTR	synonymous_variant	49159	2	4.06843100958116e-05
VNTR	transcript_ablation	49159	3	6.10264651437173e-05
VNTR	upstream_gene_variant	49159	3093	0.0629182855631726
