AF_group	svtype	total_SV	overlap_SV	overlap_ratio	category	value
rare	DEL	14703	11304	0.768822689247092	Reported	0.768822689247092
rare	INS	38733	26224	0.677045413471717	Reported	0.677045413471717
common	INS	21657	18130	0.837142725215866	Reported	0.837142725215866
common	DEL	11458	9862	0.860708675161459	Reported	0.860708675161459
rare	DEL	14703	11304	0.768822689247092	Novel	0.231177310752908
rare	INS	38733	26224	0.677045413471717	Novel	0.322954586528283
common	INS	21657	18130	0.837142725215866	Novel	0.162857274784134
common	DEL	11458	9862	0.860708675161459	Novel	0.139291324838541
