sample	MDS1	MDS2	Tissue	Tissue_Color_Code	batch
GTOP-AJ141-2099-LN-7RT0	-10.7877685543705	-4.93852721949974	Adrenal_Gland	A8D650	Z240428323
GTOP-AJ142-1053-LN-038Q	-69.1590364427532	21.1291359997147	Liver	69AE6A	Z250930175
GTOP-AJ211-0160-LN-9PB8	3.5797158053384	-11.85477034094	Adipose	E59525	Z240428323
GTOP-AJ211-1856-LN-17CG	-3.92474287002014	-9.90775969340065	Gallbladder	8F8495	Z240428323
GTOP-AJ221-1053-LN-DP1V	-67.2766223714365	43.7729309563267	Liver	69AE6A	Z250930175
GTOP-AJ221-1470-LN-YDI2	-30.093502119119	3.61832443856508	Small_Intestine	535426	Z250930175
GTOP-AJ221-1584-LN-5C69	-17.2475523477149	-9.152406418014	Colon	E7C08D	Z250930175
GTOP-AJ221-1710-LN-BC49	24.1679942308066	-5.88158973582213	Esophagus	AF8C5C	Z250930175
GTOP-AJ221-4019-LN-D5AL	63.3247849653273	13.5075727573956	Heart_Left_Atrium	6F1F71	Z250930175
GTOP-AJ221-4023-LN-864C	15.8517161970555	-10.3103837258511	Heart_Tricuspid_Valve	9F98BF	Z250930175
GTOP-AJ221-4149-LN-TNU9	6.80223355663875	-1.68765908778205	Thoracic_Aorta	7e888e	Z250930175
GTOP-AJ221-4155-LN-5B1V	21.6424496587294	-12.3670463146323	Aortic_Arch	758E90	Z250930175
GTOP-AJ231-0087-LN-9SDI	81.2880973761183	29.0996865834393	Muscle	7080BD	Z240428323
GTOP-AJ231-0262-LN-Y4A8	-10.4309852182536	-18.7413915289314	Skin	3A71A4	Z240428323
GTOP-AJ231-1053-LN-1MW3	-62.3987247161249	16.5472753132473	Liver	69AE6A	Z240428323
GTOP-AJ231-1236-LN-TX0A	-54.7656313409014	50.2983213814121	Pancreas_Body	902222	Z240428323
GTOP-AJ231-2099-LN-1EPN	-10.3989164384481	-6.87972803736101	Adrenal_Gland	A8D650	Z240428323
GTOP-AK091-0087-LN-S07X	72.1418772282396	28.0378326439734	Muscle	7080BD	Z240428323
