gene	gene_id	module_MEnumber	module_Color
111190	ENST00000827160.1	ME2	blue
111191	ENST00000827162.1	ME2	blue
111192	ENST00000827170.1	ME1	turquoise
111193	ENST00000827180.1	ME2	blue
111194	ENST00000827190.1	ME1	turquoise
111195	ENST00000827212.1	ME1	turquoise
111198	ENST00000827300.1	ME1	turquoise
111199	ENST00000827310.1	ME1	turquoise
111201	ENST00000827339.1	ME1	turquoise
111202	ENST00000827369.1	ME1	turquoise
111203	ENST00000827370.1	ME1	turquoise
111204	ENST00000827392.1	ME14	cyan
111205	ENST00000827399.1	ME1	turquoise
111207	ENST00000827424.1	ME30	steelblue
111209	ENST00000827427.1	ME30	steelblue
111212	ENST00000827434.1	ME4	yellow
111214	ENST00000827449.1	ME2	blue
111217	ENST00000827472.1	ME1	turquoise
111218	ENST00000827498.1	ME2	blue
111219	ENST00000827510.1	ME1	turquoise
111220	ENST00000827529.1	ME1	turquoise
111221	ENST00000827542.1	ME1	turquoise
111223	ENST00000827593.1	ME1	turquoise
111224	ENST00000827599.1	ME1	turquoise
111226	ENST00000827612.1	ME1	turquoise
111229	ENST00000827647.1	ME8	pink
111231	ENST00000827699.1	ME1	turquoise
111232	ENST00000827706.1	ME2	blue
111235	ENST00000827741.1	ME1	turquoise
111236	ENST00000827753.1	ME3	brown
111237	ENST00000827767.1	ME1	turquoise
111239	ENST00000827783.1	ME1	turquoise
111240	ENST00000827794.1	ME1	turquoise
111242	ENST00000827828.1	ME1	turquoise
111243	ENST00000827831.1	ME1	turquoise
111245	ENST00000827869.1	ME1	turquoise
111248	ENST00000827895.1	ME3	brown
111249	ENST00000827905.1	ME4	yellow
