gene	gene_id	module_MEnumber	module_Color
112404	ENST00000839985.1	ME1	turquoise
112405	ENST00000839986.1	ME1	turquoise
112407	ENST00000840004.1	ME4	yellow
112408	ENST00000840014.1	ME1	turquoise
112409	ENST00000840028.1	ME1	turquoise
112413	ENST00000840045.1	ME1	turquoise
112417	ENST00000840082.1	ME2	blue
112418	ENST00000840090.1	ME2	blue
112419	ENST00000840093.1	ME2	blue
112420	ENST00000840102.1	ME2	blue
112421	ENST00000840149.1	ME2	blue
112423	ENST00000840177.1	ME1	turquoise
112425	ENST00000840187.1	ME2	blue
112426	ENST00000840208.1	ME7	black
112428	ENST00000840238.1	ME1	turquoise
112429	ENST00000840242.1	ME1	turquoise
112430	ENST00000840255.1	ME3	brown
112433	ENST00000840278.1	ME1	turquoise
112434	ENST00000840279.1	ME1	turquoise
112435	ENST00000840335.1	ME1	turquoise
112438	ENST00000840402.1	ME1	turquoise
112439	ENST00000840408.1	ME1	turquoise
112440	ENST00000840419.1	ME17	grey60
112441	ENST00000840428.1	ME3	brown
112442	ENST00000840436.1	ME3	brown
112444	ENST00000840445.1	ME1	turquoise
112445	ENST00000840458.1	ME1	turquoise
112447	ENST00000840460.1	ME1	turquoise
112448	ENST00000840461.1	ME2	blue
112449	ENST00000840462.1	ME4	yellow
112450	ENST00000840463.1	ME4	yellow
112452	ENST00000840482.1	ME1	turquoise
112453	ENST00000840512.1	ME1	turquoise
112454	ENST00000840513.1	ME7	black
112457	ENST00000840548.1	ME3	brown
112464	ENST00000840598.1	ME33	darkolivegreen
112466	ENST00000840604.1	ME1	turquoise
112467	ENST00000840615.1	ME1	turquoise
112468	ENST00000840616.1	ME2	blue
112469	ENST00000840622.1	ME1	turquoise
112470	ENST00000840629.1	ME2	blue
112471	ENST00000840632.1	ME9	magenta
112473	ENST00000840684.1	ME1	turquoise
112474	ENST00000840695.1	ME1	turquoise
112476	ENST00000840726.1	ME1	turquoise
112480	ENST00000840735.1	ME1	turquoise
112481	ENST00000840737.1	ME1	turquoise
112484	ENST00000840768.1	ME1	turquoise
112485	ENST00000840769.1	ME1	turquoise
112489	ENST00000840852.1	ME1	turquoise
112490	ENST00000840855.1	ME2	blue
112491	ENST00000840877.1	ME1	turquoise
112492	ENST00000840878.1	ME1	turquoise
112494	ENST00000840911.1	ME1	turquoise
112495	ENST00000840960.1	ME1	turquoise
112496	ENST00000840962.1	ME1	turquoise
112497	ENST00000840975.1	ME2	blue
112498	ENST00000840977.1	ME2	blue
112501	ENST00000840980.1	ME2	blue
112504	ENST00000841004.1	ME1	turquoise
112505	ENST00000841005.1	ME1	turquoise
112507	ENST00000841035.1	ME2	blue
112508	ENST00000841039.1	ME2	blue
112509	ENST00000841045.1	ME7	black
112511	ENST00000841069.1	ME1	turquoise
112512	ENST00000841073.1	ME1	turquoise
112513	ENST00000841074.1	ME1	turquoise
112514	ENST00000841092.1	ME24	darkgrey
112516	ENST00000841097.1	ME27	white
