Adipose.mashr.txt	Adrenal_Gland.mashr.txt	Gallbladder.mashr.txt	Liver.mashr.txt	Muscle.mashr.txt	Pancreas_Body.mashr.txt	Pancreas_Head.mashr.txt	Pancreas_Tail.mashr.txt	Skin.mashr.txt	Spleen.mashr.txt	Whole_Blood.mashr.txt
Adipose.mashr.txt	1	0.629164969450102	0.689115646258503	0.573627951499681	0.596454640250261	0.436114889191135	0.43416	0.431008369868474	0.571515046696645	0.557929403816923	0.402883460152183
Adrenal_Gland.mashr.txt	0.629164969450102	1	0.636385936222404	0.595016534645851	0.572252925877763	0.477599125819544	0.479728676126618	0.473491630984819	0.549205055034651	0.572199404042845	0.398180706314019
Gallbladder.mashr.txt	0.689115646258503	0.636385936222404	1	0.591773162939297	0.581213307240705	0.465507526362392	0.463306808134394	0.451970146858198	0.57666378565255	0.570097416349005	0.400603605750139
Liver.mashr.txt	0.573627951499681	0.595016534645851	0.591773162939297	1	0.535848754305856	0.461359944302622	0.466733482383779	0.465851407475773	0.511248593925759	0.53445806143562	0.38224816190404
Muscle.mashr.txt	0.596454640250261	0.572252925877763	0.581213307240705	0.535848754305856	1	0.407925037719368	0.415171868826551	0.403350719140193	0.631960784313725	0.543904593639576	0.412569438686676
Pancreas_Body.mashr.txt	0.436114889191135	0.477599125819544	0.465507526362392	0.461359944302622	0.407925037719368	1	0.895505117935025	0.899485450674237	0.406973947895792	0.408634458764924	0.268483971674408
Pancreas_Head.mashr.txt	0.43416	0.479728676126618	0.463306808134394	0.466733482383779	0.415171868826551	0.895505117935025	1	0.88974358974359	0.41363926067559	0.413888232048554	0.270424030948949
Pancreas_Tail.mashr.txt	0.431008369868474	0.473491630984819	0.451970146858198	0.465851407475773	0.403350719140193	0.899485450674237	0.88974358974359	1	0.403278427627914	0.407375373486397	0.267745105450147
Skin.mashr.txt	0.571515046696645	0.549205055034651	0.57666378565255	0.511248593925759	0.631960784313725	0.406973947895792	0.41363926067559	0.403278427627914	1	0.562064912756532	0.439227916385705
Spleen.mashr.txt	0.557929403816923	0.572199404042845	0.570097416349005	0.53445806143562	0.543904593639576	0.408634458764924	0.413888232048554	0.407375373486397	0.562064912756532	1	0.505063081009296
Whole_Blood.mashr.txt	0.402883460152183	0.398180706314019	0.400603605750139	0.38224816190404	0.412569438686676	0.268483971674408	0.270424030948949	0.267745105450147	0.439227916385705	0.505063081009296	1
