method	qtltype	enrichment	se	logen	logCI_upper	logCI_lower
finemappip	eQTL	11.5724145644945	1.66945610036698	3.5326180065916892	3.8918613110741203	3.0531601105080677
allsig	eQTL	1.5260640069451	0.0906763429202421	0.6098154736833957	0.7687472220621535	0.4311825962354106
finemap	eQTL	2.41593220546323	0.289045387579668	1.2725799711305892	1.5765033525879135	0.8870598257684299
finemappip	juQTL	13.8778707795877	2.45769658401757	3.7947143334544515	4.224577177097531	3.179636122196719
allsig	juQTL	1.75225873918902	0.0772029765967521	0.8092158195646939	0.9287126049540934	0.6789200551675632
finemap	juQTL	2.08189522973728	0.279282513400756	1.0578974676086534	1.39467270128814	0.6177700593268775
finemappip	tuQTL	17.5272005662959	1.96675072517552	4.131523683019228	4.4183270573560165	3.773191349354745
allsig	tuQTL	1.82537447841228	0.0807859768534829	0.8681924654869709	0.9882047638010504	0.73728349777186
finemap	tuQTL	2.74542284401065	0.243934685590052	1.4570283670726227	1.6886435707601644	1.1809822057242287
